ID	問題	画像	選択肢1	選択肢2	選択肢3	選択肢4	選択肢5	選択肢6	選択肢7	正解番号	解説
N027	"3/4 ÷ 9/2"	""	"1/9"	"1/6"	"1/3"	"1/2"	"27/8"	""	""	2	"割り算は「逆数の掛け算」に直します。\n$\frac{3}{4} \times \frac{2}{9} = \frac{6}{36}$\n$6$で約分すると $\frac{1}{6}$ です。"
N028	"(5 + □) × 4 = 32"	""	"1.5"	"2"	"3"	"4"	"7.5"	""	""	3	"【逆算のコツ】\n外側の計算から順に反対の計算をします。\n$5 + \square = 32 \div 4$\n$5 + \square = 8$ より、$\square = 3$ です。"
N029	"(12 - □) ÷ 4 = 2.5"	""	"1.5"	"2"	"2.5"	"4"	"7.5"	""	""	2	"【逆算のコツ】\n$12 - \square = 2.5 \times 4$\n$12 - \square = 10$ より、$\square = 2$ です。"
N030	"9 × 2/3 = □ × 1/2"	""	"6"	"8"	"3"	"9"	"12"	""	""	5	"左辺を先に計算します。\n$6 = \square \times 0.5$\n$\square = 6 \div 0.5 = 12$ です。"
N031	"6.5 × □ = 26 ÷ 1/5"	""	"0.5"	"20"	"25"	"100"	"200"	""	""	2	"右辺の割り算は掛け算に直します。\n$6.5 \times \square = 26 \times 5$\n$6.5 \times \square = 130$\n$\square = 130 \div 6.5 = 20$ です。"
N032	"3 × □ ÷ 0.2 = 54 + 36"	""	"0.8"	"3"	"3.5"	"6"	"8"	""	""	4	"まず左辺の割り算を整理します。\n$15 \times \square = 90$\n$\square = 90 \div 15 = 6$ です。"
N033	"(12 × 8) ÷ (11 - □) = 72 ÷ 6"	""	"2"	"3"	"4"	"5"	"7"	""	""	2	"それぞれ整理すると：\n$96 \div (11 - \square) = 12$\n$11 - \square = 96 \div 12 = 8$\n$\square = 11 - 8 = 3$ です。"
N034	"14/5 ÷ 7/3 = □ × 2/3"	""	"2/3"	"4/5"	"5/6"	"5/4"	"9/5"	""	""	5	"左辺を計算します：\n$\frac{14}{5} \times \frac{3}{7} = \frac{6}{5}$\n$\frac{6}{5} = \square \times \frac{2}{3}$ より、$\square = \frac{6}{5} \div \frac{2}{3} = \frac{6}{5} \times \frac{3}{2} = \frac{9}{5}$ です。"
N035	"(□ + □ × 4) × 30 = 60 × 12.5"	""	"2"	"3"	"4"	"5"	"12"	""	""	4	"左辺のカッコ内は $5 \times \square$ とおけます。\n$(5 \times \square) \times 30 = 750$\n$150 \times \square = 750$ より、$\square = 5$ です。"
N036	"70km離れたQ地点へ、11:00発12:45着で移動した。\n平均時速は何kmか。"	""	"35km"	"40km"	"50km"	"55km"	"60km"	"65km"	""	2	"【公式：$距離 \div 時間 = 速さ$】\n1. 移動時間は 1時間45分 = $1.75$時間 です。\n2. $70 \text{km} \div 1.75\text{時間} = 40\text{km/h}$ です。"
N037	"時速60kmで10:20出発、13:00到着した。\nPQ間の距離は何kmか。"	""	"45km"	"50km"	"60km"	"65km"	"75km"	"100km"	"160km"	7	"【公式：$速さ \times 時間 = 距離$】\n1. 移動時間は 2時間40分 = $2\frac{2}{3}$時間 = $\frac{8}{3}$時間 です。\n2. $60\text{km/h} \times \frac{8}{3}\text{時間} = 160\text{km}$ です。"
N038	"距離97.5km。13:15発、14:45着で移動した。\n平均時速は何kmか。"	""	"45km"	"50km"	"52.5km"	"58km"	"65km"	"67.5km"	"75.5km"	5	"【公式：$距離 \div 時間 = 速さ$】\n1. 移動時間は 1時間30分 = $1.5$時間 です。\n2. $97.5\text{km} \div 1.5\text{時間} = 65\text{km/h}$ です。"
N039	"Aは15時間、Bは12時間、Cは60時間かかる。\n3人同時なら何時間か。"	""	"6時間"	"8時間"	"9時間"	"10時間"	"12時間"	"14時間"	""	1	"【仕事算：全体の仕事を $1$ とおく】\n1. 各自の1時間あたりの仕事量は：\n　A：$\frac{1}{15}$、B：$\frac{1}{12}$、C：$\frac{1}{60}$\n2. 3人の合計：$\frac{4+5+1}{60} = \frac{10}{60} = \frac{1}{6}$\n3. 全体終了まで：$1 \div \frac{1}{6} = 6$時間 です。"
N040	"3人で4時間働いたあと、Aのみで残りを仕上げた。\nAは残り何時間か。"	""	"2時間"	"3時間"	"4時間"	"5時間"	"6時間"	"7時間"	""	4	"1. 4時間で終わった仕事量：$4 \times \frac{1}{6} = \frac{2}{3}$\n2. 残りの仕事量：$1 - \frac{2}{3} = \frac{1}{3}$\n3. Aが仕上げる時間：$\frac{1}{3} \div \frac{1}{15} = 5$時間 です。"
N041	"X管9分、Y管27分かかる。\n同時なら何分か。"	""	"6分25秒"	"6分45秒"	"7分15秒"	"8分00秒"	"8分25秒"	"8分45秒"	""	2	"1. 1分あたりの給水量は：$\frac{1}{9} + \frac{1}{27} = \frac{4}{27}$\n2. 満水まで：$1 \div \frac{4}{27} = 6.75$分\n3. $0.75$分を秒に直すと：$60 \times 0.75 = 45$秒。よって 6分45秒 です。"
N042	"X管9分、Y管27分、Z管(排水)36分。\nXとZを6分後、Yのみで満水にした. 全時間は。"	""	"15分30秒"	"18分45秒"	"19分30秒"	"20分10秒"	"22分15秒"	"24分30秒"	""	3	"1. 最初の6分間の仕事量：$6 \times (\frac{1}{9} - \frac{1}{36}) = 6 \times \frac{3}{36} = 0.5$\n2. 残り仕事量 0.5 を Y($\frac{1}{27}$)で：$0.5 \div \frac{1}{27} = 13.5$分\n3. 合計時間：$6 + 13.5 = 19.5$分 = 19分30秒 です。"
N043	"5%食塩水400gと12%食塩水300gを混ぜると\n何%の食塩水ができるか。"	""	"4%"	"5%"	"8%"	"7%"	"10%"	"18%"	""	3	"【公式：$食塩 = 食塩水 \times 濃度$】\n1. それぞれの食塩の量：\n　$400 \times 0.05 = 20\text{g}$、 $300 \times 0.12 = 36\text{g}$\n2. 混ぜた後の合計：食塩 $56\text{g}$、食塩水 $700\text{g}$\n3. 濃度：$56 \div 700 = 0.08$ → 8% です。"
N044	"15%食塩水400gから100g捨て同量の水を入れた。\nこの食塩水の濃度は。"	""	"7.75%"	"8.5%"	"10.75%"	"11.25%"	"12.5%"	"12.75%"	""	4	"1. 残った食塩水の食塩：$300\text{g} \times 0.15 = 45\text{g}$\n2. 水を足して食塩水は $400\text{g}$ に戻ります。\n3. 濃度：$45 \div 400 = 0.1125$ → 11.25% です。"
N045	"600円で仕入れ、2割の利益を見込んだ定価は\nいくらになるか。"	""	"500円"	"550円"	"620円"	"680円"	"720円"	"750円"	""	5	"【公式：$定価 = 原価 \times (1 + 利益率)$】\n$600 \times 1.2 = 720$円 です。"
N046	"原価の3割の利益を見込み、\"2,600円\"の定価をつけた。\n原価はいくらか。"	""	"1,500円"	"1,600円"	"1,700円"	"1,800円"	"1,900円"	"2,000円"	""	6	"【公式：$原価 = 定価 \div (1 + 利益率)$】\n$2600 \div 1.3 = 2000$円 です。"
N047	"8,000円で仕入れ20%利益の定価をつけたが、定価の15%引きで販売した。\n損益は。"	""	"160円の損失"	"120円の損失"	"60円の損失"	"60円の利益"	"120円の利益"	"160円の利益"	""	6	"1. 定価：$8000 \times 1.2 = 9600$円\n2. 売価：$9600 \times 0.85 = 8160$円\n3. 損益：$8160 - 8000 = 160$円。 160円の利益 です。"
N048	"原価\"2,000円\"を定価の20%引きで売ると240円の損になる。\n定価は。"	""	"1000円"	"1200円"	"1500円"	"1800円"	"1900円"	"2,200円"	""	6	"1. 売価：$2000 - 240 = 1760$円\n2. 定価：$1760 \div 0.8 = 2200$円 です。"
N049	"1日目に1/4、2日目に残りの2/3を読んだ。\n2日目までに読んだのは全体のどれだけか。"	""	"3/7"	"1/3"	"2/5"	"3/5"	"3/4"	"4/5"	""	5	"1. 1日目の残り：$1 - \frac{1}{4} = \frac{3}{4}$\n2. 2日目に読んだ量：$\frac{3}{4} \times \frac{2}{3} = \frac{1}{2}$\n3. 合計：$\frac{1}{4} + \frac{1}{2} = \frac{3}{4}$ です。"
N050	"1日目に1/4、2日目に残りの2/3、3日目に60ページ読んで完読した。\n全部で何ページか。"	""	"90ページ"	"120ページ"	"180ページ"	"240ページ"	"290ページ"	"360ページ"	""	4	"1. 2日目までに全体の $\frac{3}{4}$ を読みました。\n2. 残りの $\frac{1}{4}$ が 60ページにあたります。\n3. 全体：$60 \div \frac{1}{4} = 240$ページ です。"
N051	"生徒の40%がアプリ保有。男子は全体の55%で保有率は60%。\n女子の保有率は。"	""	"13.0%"	"15.6%"	"20.0%"	"25.6%"	"27.5%"	"28.0%"	""	2	"1. 男子の保有数：$55 \times 0.6 = 33$\n2. 全体の保有数：$40$ なので、女子の保有数は $40 - 33 = 7$\n3. 女子の割合：女子は全体の $45\%$ なので、保有率は $7 \div 45 = 0.1555...$ → 約 15.6% です。"
N052	"父44歳、子16歳と12歳。\n父が二人の年齢の和の2倍だったのは何年前か。"	""	"3年前"	"4年前"	"5年前"	"6年前"	"7年前"	"8年前"	""	2	"1. $x$年前とすると、$(44-x) = 2 \times ((16-x) + (12-x))$\n2. $44 - x = 2 \times (28 - 2x) = 56 - 4x$\n3. $3x = 12$ より、$x = 4$。 4年前 です。"
N053	"両親の年齢の和は子の6倍. 4年前は8倍だった。\n4年前の子の年齢は。"	""	"6歳"	"7歳"	"8歳"	"10歳"	"11歳"	"12歳"	""	3	"1. 現在の子を$c$、両親の和を$P$とすると $P=6c$\n2. 4年前：$(P-8) = 8 \times (c-4)$\n3. $6c - 8 = 8c - 32$ より、$2c = 24$。現在は12歳。\n4. 4年前：$12 - 4 = 8$歳 です。"
N054	"150人中、数学合格85人、英語合格102人、どちらも不合格14人。\n二科目とも合格は。"	""	"19人"	"35人"	"36人"	"40人"	"49人"	"51人"	""	6	"【集合：ベン図で整理】\n1. 少なくとも一方に合格した人：$150 - 14 = 136$人\n2. 重複分（両方合格）：$(85 + 102) - 136 = 51$人 です。\n[TABLE]区分|合格|不合格|合計;数学|85|65|150;英語|102|48|150;全体|136|14|150"
N055	"200人中、旅行好き155人、沖縄経験80人、両方該当65人。\n好きではないが沖縄経験者は。"	""	"12人"	"15人"	"28人"	"30人"	"31人"	"36人"	""	2	"1. 沖縄経験者(80人)から、旅行好きとの重複(65人)を引きます。\n2. $80 - 65 = 15$人 です。"
N056	"10人の委員から4人選び、その中から委員長、副委員長を一人ずつ選ぶ方法は。"	""	"6通り"	"12通り"	"16通り"	"24通り"	"36通り"	"48通り"	""	2	"1. まず4人選び、その中から2つの役職を割り当てます。\n2. $_4P_2 = 4 \times 3 = 12$通り です。"
N057	"男子5人、女子5人の10人から4人の委員を選ぶとき、\n男子2人、女子2人になる選び方は。"	""	"66通り"	"78通り"	"100通り"	"124通り"	"156通り"	"180通り"	""	3	"1. 男子の選び方：$_5C_2 = 10$通り\n2. 女子の選び方：$_5C_2 = 10$通り\n3. 掛け合わせて：$10 \times 10 = 100$通り です。"
N058	"男子2人、女子3人の5人が横一列に並ぶ並び方は全部で何通りか。"	""	"120通り"	"180通り"	"260通り"	"360通り"	"480通り"	"520通り"	""	1	"5人の順列を求めます。\n$_5P_5 = 5 \times 4 \times 3 \times 2 \times 1 = 120$通り です。"
N059	"男子2人、女子3人の5人が横一列に並ぶとき、\n男子が両端になる並び方は何通りか。"	""	"6通り"	"8通り"	"12通り"	"24通り"	"36通り"	"48通り"	""	3	"1. 男子2人の入れ替え：$2$通り\n2. 間の女子3人の並び：$_3P_3 = 6$通り\n3. 掛け合わせて：$2 \times 6 = 12$通り です。"
N060	"白5個、赤3個の袋から、戻さずに3個取り出す。\n3個とも赤球である確率は。"	""	"1/112"	"1/80"	"1/56"	"1/25"	"1/12"	"1/7"	""	3	"1回目 $\frac{3}{8}$、2回目 $\frac{2}{7}$、3回目 $\frac{1}{6}$ です。\n$\frac{3}{8} \times \frac{2}{7} \times \frac{1}{6} = \frac{1}{56}$ です。"
N061	"白5個、赤3個の袋から、戻さずに3個取り出す。\n少なくとも1個が赤球である確率は。"	""	"7/28"	"9/28"	"1/7"	"13/14"	"23/28"	"3/7"	""	5	"【余事象：1 - (すべて白)】で考えます。\n1. 3個とも白の確率：$\frac{5}{8} \times \frac{4}{7} \times \frac{3}{6} = \frac{5}{28}$\n2. $1 - \frac{5}{28} = \frac{23}{28}$ です。"
N062	"さいころを2回振り、\n2回とも偶数の目が出る確率は。"	""	"1/12"	"1/6"	"1/4"	"3/4"	"3/8"	"1/2"	""	3	"1回あたり偶数（2,4,6）が出る確率は $\frac{1}{2}$ です。\n$\frac{1}{2} \times \frac{1}{2} = \frac{1}{4}$ です。"
N063	"さいころを2回振り、\n少なくとも1回は6の目が出る確率は。"	""	"1/36"	"1/24"	"1/12"	"11/36"	"11/24"	"11/12"	""	4	"【余事象：1 - (すべて6以外)】で考えます。\n1. 2回とも6以外：$\frac{5}{6} \times \frac{5}{6} = \frac{25}{36}$\n2. $1 - \frac{25}{36} = \frac{11}{36}$ です。"
N064	"名古屋から博多までの普通運賃はいくらか。"	"[FARE]東京|名古屋|京都|新大阪|広島|博多;5,800\n7,300;6,200\n8,700|2,300\n4,600;7,500\n9,700|3,200\n5,400|520\n2,100;9,600\n13,500|7,000\n9,800|5,700\n7,700|5,200\n6,900;11,400\n15,600|8,200\n12,300|7,900\n11,000|7,000\n9,900|4,800\n7,400"	"2,300円"	"4,800円"	"5,800円"	"7,000円"	"8,200円"	""	""	5	"三角表から名古屋と博多の交点を見ます。上段が普通運賃です。\n8,200円 です。"
N065	"新大阪から普通運賃が\"5,200円\"かかる駅は。"	"[FARE]東京|名古屋|京都|新大阪|広島|博多;5,800\n7,300;6,200\n8,700|2,300\n4,600;7,500\n9,700|3,200\n5,400|520\n2,100;9,600\n13,500|7,000\n9,800|5,700\n7,700|5,200\n6,900;11,400\n15,600|8,200\n12,300|7,900\n11,000|7,000\n9,900|4,800\n7,400"	"東京"	"名古屋"	"京都"	"広島"	"博多"	""	""	4	"新大阪の列または行から、上段が 5,200 となっている駅を探します。広島です。"
N066	"広島から特急料金を含んだ運賃が\"9,800円\"かかる駅は。"	"[FARE]東京|名古屋|京都|新大阪|広島|博多;5,800\n7,300;6,200\n8,700|2,300\n4,600;7,500\n9,700|3,200\n5,400|520\n2,100;9,600\n13,500|7,000\n9,800|5,700\n7,700|5,200\n6,900;11,400\n15,600|8,200\n12,300|7,900\n11,000|7,000\n9,900|4,800\n7,400"	"東京"	"名古屋"	"京都"	"新大阪"	"博多"	""	""	2	"広島の列または行から、下段が 9,800 となっている駅を探します。名古屋です。"
N067	"京都から普通運賃が\"6,200円\"かかる駅は。"	"[FARE]東京|名古屋|京都|新大阪|広島|博多;5,800\n7,300;6,200\n8,700|2,300\n4,600;7,500\n9,700|3,200\n5,400|520\n2,100;9,600\n13,500|7,000\n9,800|5,700\n7,700|5,200\n6,900;11,400\n15,600|8,200\n12,300|7,900\n11,000|7,000\n9,900|4,800\n7,400"	"東京"	"名古屋"	"新大阪"	"広島"	"博多"	""	""	1	"京都の列または行から、上段が 6,200 となっている駅を探します。東京です。"
N068	"博多から名古屋まで特急料金を含んだ運賃は。"	"[FARE]東京|名古屋|京都|新大阪|広島|博多;5,800\n7,300;6,200\n8,700|2,300\n4,600;7,500\n9,700|3,200\n5,400|520\n2,100;9,600\n13,500|7,000\n9,800|5,700\n7,700|5,200\n6,900;11,400\n15,600|8,200\n12,300|7,900\n11,000|7,000\n9,900|4,800\n7,400"	"7,300円"	"9,700円"	"11,000円"	"12,300円"	"15,600円"	""	""	4	"博多と名古屋の交点、下段の数字を見ます。\n12,300円 です。"
N069	"京都から広島までの普通運賃は。"	"[FARE]東京|名古屋|京都|新大阪|広島|博多;5,800\n7,300;6,200\n8,700|2,300\n4,600;7,500\n9,700|3,200\n5,400|520\n2,100;9,600\n13,500|7,000\n9,800|5,700\n7,700|5,200\n6,900;11,400\n15,600|8,200\n12,300|7,900\n11,000|7,000\n9,900|4,800\n7,400"	"3,200円"	"5,200円"	"5,700円"	"6,200円"	"7,000円"	""	""	3	"京都と広島の交点、上段の数字を見ます。\n5,700円 です。"
N070	"広島から名古屋までの特急料金を含んだ運賃は。"	"[FARE]東京|名古屋|京都|新大阪|広島|博多;5,800\n7,300;6,200\n8,700|2,300\n4,600;7,500\n9,700|3,200\n5,400|520\n2,100;9,600\n13,500|7,000\n9,800|5,700\n7,700|5,200\n6,900;11,400\n15,600|8,200\n12,300|7,900\n11,000|7,000\n9,900|4,800\n7,400"	"7,300円"	"9,800円"	"11,000円"	"12,300円"	"13,500円"	""	""	2	"広島と名古屋の交点、下段の数字を見ます。\n9,800円 です。"
N071	"新大阪から特急料金を含んだ運賃が\"9,900円\"かかる駅は。"	"[FARE]東京|名古屋|京都|新大阪|広島|博多;5,800\n7,300;6,200\n8,700|2,300\n4,600;7,500\n9,700|3,200\n5,400|520\n2,100;9,600\n13,500|7,000\n9,800|5,700\n7,700|5,200\n6,900;11,400\n15,600|8,200\n12,300|7,900\n11,000|7,000\n9,900|4,800\n7,400"	"東京"	"名古屋"	"京都"	"広島"	"博多"	""	""	5	"新大阪の列または行から、下段が 9,900 となっている駅を探します。博多です。"
N072	"京都から博多まで特急料金を含んだ運賃は。"	"[FARE]東京|名古屋|京都|新大阪|広島|博多;5,800\n7,300;6,200\n8,700|2,300\n4,600;7,500\n9,700|3,200\n5,400|520\n2,100;9,600\n13,500|7,000\n9,800|5,700\n7,700|5,200\n6,900;11,400\n15,600|8,200\n12,300|7,900\n11,000|7,000\n9,900|4,800\n7,400"	"8,700円"	"9,700円"	"9,800円"	"11,000円"	"12,300円"	""	""	4	"京都と博多の交点、下段の数字を見ます。\n11,000円 です。"
N073	"広島から名古屋までの普通運賃は。"	"[FARE]東京|名古屋|京都|新大阪|広島|博多;5,800\n7,300;6,200\n8,700|2,300\n4,600;7,500\n9,700|3,200\n5,400|520\n2,100;9,600\n13,500|7,000\n9,800|5,700\n7,700|5,200\n6,900;11,400\n15,600|8,200\n12,300|7,900\n11,000|7,000\n9,900|4,800\n7,400"	"5,200円"	"5,700円"	"7,000円"	"7,900円"	"9,600円"	""	""	3	"広島と名古屋の交点、上段の数字を見ます。\n7,000円 です。"
N077	"連立不等式 y < 4 かつ y > x^2 の\n表す領域はどれか。"	"n_img09.png"	"1と4"	"2と3"	"6のみ"	"1と2と3と4"	"1と2と5"	"5のみ"	""	6	"1. $y < 4$ は直線より下の部分です。\n2. $y > x^2$ は放物線より内側の部分です。\n3. 両方を満たすのは 5 の領域です。"
N078	"連立不等式 y > x かつ y < -2x + 3 の\n表す領域はどれか。"	"n_img10.png"	"1"	"2"	"3"	"4"	"1と2"	"2と3"	""	4	"1. $y > x$ は直線の右上の部分です。\n2. $y < -2x + 3$ は直線の左下の部分です。\n3. 両方を満たすのは 4 の領域です。"
N079	"ある土地の区画a〜eを5人が所有している。\n１．Oの区画とPの区画は接していない\n２．Sの区画はO、P、Rの3人の区画と接している\n\nア．Oの隣はRである\nイ．Pの隣はQである\nウ．Qの隣はSではない\n必ず正しいといえるのはどれか。"	"n_img11.png"	"アのみ"	"イのみ"	"ウのみ"	"アとイ"	"イとウ"	"アとウ"	"アとイとウ"	5	"【推論：図に条件を書き込む】\nSの隣にO,P,Rを配置し、OとPを離して考えます。するとQの場所が限定され、「イ」と「ウ」が必ず正しくなります。"
N080	"ある土地の区画a〜eについて次のことが分かっている。\n１．Rの区画はP、Q、Sの区画と接しているが、Qとは接していない\n２．Sの区画はRとPの区画と接している\n\n問い：aは誰の所有か。"	"n_img12.png"	"O所有"	"P所有"	"Q所有"	"R所有"	"S所有"	"OかR所有"	""	1	"【推論：図に条件を書き込む】\n条件から各区画の所有者を割り当てていくと、aには誰とも接していない条件の残りの人物、Oが入ります。"
N081	"あるコンビニのレジの中にある硬貨を調べた。\n１．1円、5円、500円がある\n２．1円が20枚、5円が10枚、100円が30枚ある\n３．3種類以上の硬貨がある\n\nア．１が正しければ３は正しい\nイ．２が正しければ３は正しい\nウ．３が正しければ１は正しい\n正しいものはどれか。"	""	"アだけ"	"イだけ"	"火だけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	4	"1. 「１」は具体的に3種類挙げているので「３」は必ず正しいです。\n2. 「２」も3種類挙げているので「３」は必ず正しいです。\n3. 「３」が正しくても、その3種類が「１」のセットとは限りません。"
N082	"あるサッカーチームの選手の出身国を調べた。\n１．フランス出身者が1名、スペイン出身者が2名いる\n２．欧州の3カ国以上の出身者がいる\n３．欧州出身の選手は、少なくとも3名以上はいる\n\nア．１が正しければ３は正しい\nイ．２が正しければ３は正しい\nウ．３が正しければ２は正しい\n正しいものはどれか。"	""	"アだけ"	"イだけ"	"ウだけ"	"アとイ"	"アとウ"	"イとウ"	"アとイとウ"	4	"1. 「１」が正しければ合計3名（欧州）なので「３」は正しいです。\n2. 「２」が正しければ3カ国以上＝最低3名なので「３」は正しいです。\n3. 「３」で3名いても、全員同じ国の可能性があるので「２」は言えません。"
N083	"P、Q、R、Sの4チームで総当たり戦を行った。\n・PはSに負けた\n・QはRに勝った\n・Qの順位は2位だった\n・RはPに勝った\n・全チームの勝率は異なっていた\n正しいものはどれか。"	""	"Pは3位"	"SはQに負けた"	"RはSに勝った"	"Sは2勝1敗"	"QはPに勝った"	""	""	5	"【推論：勝敗表を作成】\n各条件を埋めて順位を確定させます。Qが2位（2勝1敗）でRに勝っていることから、QはPにも勝っていることがわかります。"
